Before (ms),After (ms)
17.483833,36.417125
17.709833,35.062792
17.593875,35.612292
17.001334,35.74625
21.071417,36.04725
17.736333,33.851667
17.868541,34.353708
17.845667,34.962583
18.753584,34.70875
17.860125,37.219334
17.837833,34.552292
17.833208,34.444458
17.682708,34.891542
18.121042,35.961375
17.424833,33.877708
18.4305,35.104292
18.276625,35.348084
18.119416,35.002292
17.673458,35.2345
17.410917,34.955417
17.142375,34.312625
17.669,35.984209
19.511209,38.7
17.252625,34.688126
18.019375,34.321708
18.981,35.946417
18.470959,35.919166
17.994083,34.669083
18.108542,37.074
18.406833,35.88875
17.699708,34.923333
18.961042,34.804417
19.482458,34.563916
18.02525,37.67725
17.125083,34.707625
17.453125,34.095875
18.156667,35.483
17.751583,35.214583
17.837,34.176875
18.192792,35.399458
18.056708,37.163666
