Before (ms),After (ms)
22.214125,57.042208
22.709208,52.710167
23.113333,54.521584
24.401667,61.329541
23.673875,52.13375
26.064167,55.984
22.542,52.169083
22.281917,60.968751
23.843291,54.080833
22.455584,59.3405
22.231834,51.524209
25.861333,58.6735
23.031333,53.157083
24.412625,52.96
23.111333,50.170958
23.264959,57.23625
22.004167,50.013
23.65,51.442875
23.384084,53.265875
22.602458,50.938834
25.294084,55.096625
22.82675,56.922167
23.54925,56.349167
22.169,55.691208
23.909167,51.771459
24.699167,57.190208
22.140291,79.099875
21.891625,50.311959
24.0675,50.596209
22.46025,53.212583
22.484,53.992459
24.081583,56.659542
22.5165,58.2495
22.534084,59.522291
23.026458,58.500458
28.277208,51.327916
25.561541,57.438042
22.993583,51.185917
25.07125,50.201875
32.81875,53.186709
117.325542,61.997833
22.706458,57.831416
21.85175,55.041417
22.631792,55.05825
23.370458,49.992125
22.331125,60.042459
23.495125,53.41025
22.506083,51.418625
25.086083,60.384458
22.975625,52.320583
22.489917,50.083375
23.14175,51.83775
