Before (ms),After (ms)
58.500375,50.693667
50.911583,57.606292
50.35975,49.215416
55.535584,50.418209
50.567334,51.295
56.048792,56.486583
49.066583,49.046583
51.98625,47.941375
52.767333,52.365292
52.839459,56.406542
51.180917,51.092959
51.177291,51.706583
62.150667,58.646167
54.082833,46.294875
49.443125,52.702583
56.084667,50.465125
52.769084,51.333667
49.119,52.073125
53.2125,56.657292
51.666,53.039208
54.126292,49.385
48.550417,51.435583
55.369125,45.961958
50.124917,50.728125
54.158458,48.498708
54.029,47.94775
51.862917,46.845708
51.131667,54.557417
52.875959,52.116459
51.97875,52.524542
48.935958,48.861083
56.470458,51.151916
54.651917,48.864417
51.49225,47.481833
52.690334,46.511958
57.925792,49.763708
50.201917,46.074958
56.8305,53.866792
50.875333,51.890833
92.62125,60.452083
51.1775,53.971125
51.778458,54.802667
50.7395,48.6705
55.344416,49.555334
56.887209,49.084
56.84,47.904
55.255542,48.862291
